960: [277.  470.5]
961: [273.   43.5]
962: [115.  145.2]
963: [139.  460.3]
964: [157.  453.3]
965: [ 77.  213.2]
966: [451.  242.9]
967: [ 98.  465.2]
968: [62.  72.1]
969: [ 71.  185.1]
970: [181.  470.4]
971: [ 69.  225.1]
972: [247.  429.5]
973: [169.  498.3]
974: [297.  451.6]
975: [ 12. 444.]
976: [177.   83.3]
977: [ 14. 256.]
978: [ 13. 415.]
979: [297.   47.6]
980: [ 88.  118.2]
981: [425.  170.8]
982: [119.  106.2]
983: [244.  131.5]
984: [106.  180.2]
985: [153.  409.3]
986: [221.  356.4]
987: [  5. 407.]
988: [292.  474.6]
989: [399.  270.8]
990: [257.  412.5]
991: [480.  224.9]
992: [306.  193.6]
993: [207.  412.4]
994: [245.  470.5]
995: [  0. 315.]
996: [112.   87.2]
997: [216.  444.4]
998: [455.  302.9]
999: [476.  386.9]
1000: [492. 373.]
1001: [446.  314.9]
1002: [ 56.  389.1]
1003: [97.  79.2]
1004: [310.  507.6]
1005: [469.  305.9]
1006: [ 45.  511.1]
1007: [ 10. 164.]
1008: [395.  235.8]
1009: [301.  438.6]
1010: [483.  389.9]
1011: [388.   30.8]
1012: [ 59.  258.1]
1013: [277.  358.5]
1014: [448.  230.9]
1015: [478.  256.9]
1016: [55.  18.1]
1017: [482.  320.9]
1018: [57.  60.1]
1019: [108.  128.2]
1020: [67.  84.1]
1021: [ 17. 237.]
1022: [471.  245.9]
1023: [411.   54.8]
1024: [439.  310.9]
1025: [265.   79.5]
1026: [130.  466.3]
1027: [371.  218.7]
1028: [ 10. 368.]
1029: [ 89.  420.2]
1030: [101.  382.2]
1031: [ 24. 248.]
1032: [151.  494.3]
1033: [481.  235.9]
1034: [187.  374.4]
1035: [ 97.  241.2]
1036: [157.  328.3]
1037: [399.  250.8]
1038: [263.    3.5]
1039: [293.  316.6]
1040: [434.  213.8]
1041: [505. 349.]
1042: [140.  127.3]
1043: [ 38.  271.1]
1044: [26.  76.1]
1045: [479.   24.9]
1046: [481.  247.9]
1047: [  0. 357.]
1048: [ 24. 508.]
1049: [221.   53.4]
1050: [ 15. 265.]
1051: [382.   76.7]
1052: [53.  84.1]
1053: [407.  222.8]
1054: [ 38.  156.1]
1055: [ 48.  123.1]
1056: [ 93.  171.2]
1057: [188.   90.4]
1058: [ 20. 433.]
1059: [44.  72.1]
1060: [241.   53.5]
1061: [ 87.  358.2]
1062: [ 80.  249.2]
1063: [270.  110.5]
1064: [360.  248.7]
1065: [135.  337.3]
1066: [289.  300.6]
1067: [267.  366.5]
1068: [ 25. 117.]
1069: [430.  196.8]
1070: [415.  297.8]
1071: [501. 365.]
1072: [317.   46.6]
1073: [504. 393.]
1074: [ 58.  405.1]
1075: [405.   49.8]
1076: [ 17. 327.]
1077: [502. 323.]
1078: [377.   24.7]
1079: [ 26.  399.1]
1080: [492. 393.]
1081: [418.  262.8]
1082: [140.   99.3]
1083: [177.  509.3]
1084: [ 18. 373.]
1085: [169.  510.3]
1086: [485.  308.9]
1087: [459.   30.9]
1088: [63.  28.1]
1089: [ 52.  452.1]
1090: [306.  477.6]
1091: [508. 156.]
1092: [292.  408.6]
