0: [ 51.  101.1]
684: [287.   55.6]
685: [330.   91.6]
686: [399.  329.8]
687: [390.  479.8]
688: [368.  292.7]
689: [387.  346.8]
690: [325.  479.6]
691: [393.  444.8]
692: [480.  392.9]
693: [237.   21.5]
694: [167.   26.3]
695: [249.   36.5]
696: [385.  489.8]
697: [363.   20.7]
698: [397.  274.8]
699: [367.  487.7]
700: [351.   88.7]
701: [162.  172.3]
702: [18. 12.]
703: [392.   90.8]
704: [311.   78.6]
705: [261.  508.5]
706: [346.   75.7]
707: [508.   1.]
708: [ 46.  408.1]
709: [45.  50.1]
710: [259.  137.5]
711: [407.   76.8]
712: [195.   35.4]
713: [212.   64.4]
714: [406.  106.8]
715: [509. 125.]
716: [390.  124.8]
717: [432.   15.8]
718: [  0. 419.]
719: [ 47.  454.1]
720: [256.  178.5]
721: [ 33.  413.1]
722: [ 81.  470.2]
723: [100.  149.2]
724: [392.   77.8]
725: [303.  136.6]
726: [473.  166.9]
727: [ 15. 466.]
728: [252.  211.5]
729: [ 50.  460.1]
730: [120.  113.2]
731: [450.  140.9]
732: [464.  427.9]
733: [244.  187.5]
734: [440.   19.9]
735: [285.  262.6]
736: [167.   14.3]
737: [470.  129.9]
738: [213.   20.4]
739: [384.   96.8]
740: [355.   56.7]
741: [319.   93.6]
742: [404.  450.8]
743: [243.  131.5]
744: [18.  4.]
745: [ 18. 422.]
746: [376.   89.7]
747: [400.   97.8]
748: [439.  219.9]
749: [487. 417.]
750: [407.   37.8]
751: [408.  289.8]
752: [429.  343.8]
753: [236.  372.5]
754: [342.  271.7]
755: [360.    5.7]
756: [272.  143.5]
757: [ 25. 410.]
758: [149.  185.3]
759: [ 12. 424.]
760: [309.  120.6]
761: [414.   43.8]
762: [359.  235.7]
763: [400.   83.8]
764: [476.  137.9]
765: [  8. 432.]
766: [245.  267.5]
767: [  2. 492.]
768: [412.  233.8]
769: [283.  220.6]
770: [332.    6.6]
771: [ 15. 434.]
772: [342.  104.7]
773: [340.   93.7]
774: [498. 405.]
775: [455.  409.9]
776: [377.  261.7]
777: [333.   17.7]
778: [465.  177.9]
779: [  9. 495.]
780: [432.  208.8]
781: [334.   82.7]
782: [485.  387.9]
783: [272.   87.5]
784: [456.  205.9]
785: [198.  410.4]
786: [464.  383.9]
787: [376.    3.7]
788: [395.  492.8]
789: [268.   58.5]
790: [403.  313.8]
791: [280.  475.5]
792: [325.   72.6]
793: [ 12. 480.]
794: [222.   90.4]
795: [413.   52.8]
796: [ 15. 450.]
797: [396.  468.8]
798: [138.  173.3]
799: [ 76.  480.1]
800: [ 86.  113.2]
801: [  5. 117.]
802: [213.   53.4]
803: [149.  176.3]
804: [  5. 485.]
805: [258.  167.5]
806: [30.  31.1]
807: [100.  134.2]
808: [ 15. 486.]
809: [253.  198.5]
810: [413.  461.8]
811: [143.  183.3]
812: [  9. 455.]
813: [500.  98.]
814: [  7. 132.]
815: [156.  218.3]
816: [238.   79.5]
817: [499.  80.]
818: [120.   81.2]
819: [439.   32.9]
820: [ 0. 96.]
821: [352.  129.7]
822: [257.   82.5]
823: [396.   51.8]
824: [270.  232.5]
825: [145.  168.3]
826: [420.  489.8]
827: [184.  279.4]
828: [ 64.  478.1]
829: [228.   96.4]
830: [185.   43.4]
831: [414.   76.8]
832: [402.   67.8]
833: [446.  381.9]
834: [195.  104.4]
835: [ 63.  469.1]
836: [414.   63.8]
837: [302.  298.6]
838: [437.  147.9]
839: [445.  119.9]
840: [ 18. 459.]
841: [425.  452.8]
842: [484.  130.9]
843: [240.  253.5]
844: [402.  506.8]
845: [  7. 441.]
846: [330.  309.6]
847: [454.  326.9]
848: [246.  216.5]
849: [  4. 461.]
850: [284.  139.6]
851: [461.  400.9]
852: [489. 407.]
853: [279.   97.5]
854: [385.   17.8]
855: [230.  327.4]
856: [219.   71.4]
857: [382.   59.7]
858: [356.  310.7]
859: [387.  232.8]
860: [341.   28.7]
861: [274.   49.5]
862: [322.   58.6]
863: [320.  123.6]
864: [321.  320.6]
865: [396.  416.8]
866: [424.  375.8]
867: [298.   34.6]
868: [234.  408.5]
869: [243.  423.5]
870: [249.  324.5]
871: [337.  290.7]
872: [329.  470.6]
873: [392.  319.8]
874: [351.   22.7]
875: [368.  474.7]
876: [389.  257.8]
877: [406.  461.8]
878: [404.  301.8]
879: [259.  385.5]
880: [307.  467.6]
881: [457.  130.9]
882: [467.  408.9]
883: [  6. 409.]
884: [236.  105.5]
885: [325.  108.6]
886: [247.    1.5]
887: [469.  417.9]
888: [292.  106.6]
889: [291.  296.6]
890: [257.  153.5]
891: [507. 504.]
892: [274.  156.5]
893: [335.  485.7]
894: [234.  312.5]
895: [298.   88.6]
896: [413.  393.8]
897: [362.  243.7]
898: [438.  135.9]
899: [310.  309.6]
900: [359.   65.7]
901: [371.  506.7]
902: [350.  295.7]
903: [489. 360.]
904: [253.   95.5]
905: [306.   57.6]
906: [342.  303.7]
907: [349.  341.7]
908: [474.  363.9]
909: [424.  228.8]
910: [290.    1.6]
911: [220.  326.4]
912: [290.   24.6]
913: [290.  286.6]
914: [389.  457.8]
915: [373.  341.7]
916: [387.  430.8]
917: [311.  479.6]
918: [251.  357.5]
919: [390.  361.8]
920: [262.  423.5]
921: [295.  460.6]
922: [342.  474.7]
923: [255.  469.5]
924: [275.  444.5]
925: [226.  396.4]
926: [307.  324.6]
927: [294.  425.6]
928: [283.  406.6]
929: [445.  398.9]
930: [403.  255.8]
931: [399.  343.8]
932: [219.  342.4]
933: [234.  247.5]
934: [435.   25.8]
935: [394.   29.8]
936: [201.   56.4]
937: [283.  117.6]
938: [459.  418.9]
939: [244.  123.5]
940: [212.  309.4]
941: [260.   46.5]
942: [333.   42.7]
943: [306.  290.6]
944: [252.  249.5]
945: [313.  162.6]
946: [ 22. 490.]
947: [78.  58.2]
948: [454.  151.9]
949: [356.   74.7]
950: [324.  205.6]
951: [429.  413.8]
952: [451.  228.9]
953: [369.   62.7]
954: [265.  241.5]
955: [510. 482.]
956: [390.  243.8]
957: [304.  104.6]
958: [415.  436.8]
959: [266.  210.5]
960: [ 14. 416.]
961: [  6. 503.]
962: [208.    9.4]
963: [381.   32.7]
964: [391.    9.8]
965: [271.  114.5]
966: [244.  246.5]
967: [422.  147.8]
968: [106.   62.2]
969: [237.   89.5]
970: [401.  480.8]
971: [274.  130.5]
972: [490. 394.]
973: [416.  498.8]
974: [ 32.  401.1]
975: [111.  134.2]
976: [458.  108.9]
977: [233.  192.5]
978: [196.  111.4]
979: [3. 6.]
980: [178.   24.3]
981: [346.  210.7]
